name
Enjoy great views of the City in our Deluxe Room!
Private Bedroom in Manhattan
Bright & Airy in Highland Park
Manhattan Lux Loft.Like.Love.Lots.Look !
Pop House 4min walk to L train 12mins to Manhattan
Upper East close to the subway PERFECT LOCATION
Brownstone Studio
"Clean Room, Central Location in Manhattan"
Sun-drenched 1BD in Upper East Side
Uptown Chic in Hoboken
"Fantastic NYC 2 Bed, corner of Central Park! ★★★★★"
"Sunny, Modern room in East Village!"
A Beautiful Brownstone Apartment
"Private! entire studio, own entrance, private bath"
LARGE 2 Bedroom Midtown Manhattan Apartment!
Luxe 1-Bedroom Flat Near Manhattan
Brooklyn Chill & Explore
"Cute Quirky Garden apt, NYC adjacent"
Exposed Brick Brownstone Apt!
Great Room in the heart of Times Square!
Great Bedroom in Manhattan
LARGE SUNNY ROOM 15 MIN to NYC !
Luxury Loft in Creative & Fun Apt
A Unique studio apartment
Studio Apartment Minutes Away from Times Square
Large Private Suite in the Heart of Midtown
Williamsburg Penthouse Guestroom
Flatbush Hideaway - Quiet and close to subway!
W. 80's Central Park 3 Blocks Walk
East Village Gay Friendly Dbl Room
Nice studio in Midtown Manhattan
"Leon Hotel, King, Vibrant indie boutique"
Chic Designer Home Guest Studio
"Contemporary, Cozy  Retreat"
FULLY Furnished Studio ♥ Manhattan
Modern Room 20 Minutes to Times Square
"""Desirable Deal on The Park"""
The Artist's Experience
Beautiful Bedroom in Manhattan
Williamsburg Penthouse Hideaway
"1 Block from Subway, Central Location, Great Price"
Bright room with private bathroom and rooftop
A Superhost SALE! DELUXE Room!
Loved by NYLocals Private Room SoHo
Cute Room in Hip South Williamsburg
Penthouse Studio East 50s Terrace
"On Broadway, clean & comfy room"
Tropical Getaway in Brooklyn at The Funky Loft
A room in private house - 20-35 minutes  from NYC
Private Room+Beautiful Private Backyard Near City
Brooklyn Room Available [furnished]
Private East Village Bedroom &Roof Deck(manhattan)
"Central Location, 1 Block from Subway, Great Price"
Nice Room 1 block away from Times Square action!
Midtown Manhattan Hideaway
Classic Harlem --- Economy Room
Posh Junior loft only 10 mins from Manhattan (NYC)
Stylish Midtown Retreat
Classic Brownstone Apt in a Historic Neighborhood
Interfaith Retreat Guest Rooms (Govinda)
Master room W OWN bathroom
1 Bedroom apartment
WeLive Wall Street -- Studio Double
Private hotel room in the heart of Times Square
