title,size_m2,price,latitude,longitude
Nuevo Yoo - Exclusivo Proyecto - Hyde By Marcel Wanders - 3 Recámaras,167,499000,8.979718434952602,-79.51731950619448
Se Vende Apartamento PH Miramar Av Balboa,375,675000,8.974896613321215,-79.5175018964075
"Apartamentos en Coco del Mar, Entrega Inmediata!",224,446000,8.996839828949767,-79.49850325145155
Regalia - Costa del Este | Apartamentos Para Estrenar en La Primera Linea de Mar,329,746500,9.01092312389138,-79.46382523089642
The Reserve - Santa María Golf & Country Club,331,447115,9.0193557,-79.4601568
PH Laureles,69,105000,9.0763064,-79.43803909999997
Playa Caracol,94,111121,8.577393899999999,-79.79056789999999
Hyde By Wanders & Yoo,140,280000,8.979902960807717,-79.51731696765899
Proyecto Época en Parque Lefevre,,121800,9.007839844640115,-79.50218734821543
Apartamentos Listo Para Entrega en Bella Vista - Quedan Pocas Unidades.,106,240340,,
"Se Venden Apartamentos en Gaudi, Vía España",70,160500,8.996218179852079,-79.51883174218062
Las Olas Towers Playa La Barqueta,52,85000,8.304966207338168,-82.57636991948243
Pacific Wind Punta Pacifica Vendo Apartamento,106,185500,,
Apartamento a La Venta en San Francisco,150,355000,8.9924711,-79.5069436
Venta Apartamento en San Francisco de 4 Habitaciones,138,210000,,
PH The View - San Fracisco - Apartamento en Venta,211,349000,8.9912108,-79.50005290000001
Vendo Hermoso Apartamento en El Casco Viejo,115,399000,8.9823792,-79.51986959999999
"Se Vende Lujoso Apartamento en PH Bahia Pacifica, Punta Pacifica",427,1100000,8.975889270823982,-79.50638127041157
"Venta Apartamento River Valley, Panamá Pacífico",144,300000,8.9038098,-79.5911984
San Maria - Vista Al Campo de Golf Hoyo 8,322,800000,9.02671182392523,-79.45430584649195
Se Vende Apartamento en Vía Brasil,84,189000,8.987920463278064,-79.51653242111207
Super Super Ganga Apartamento en Costa del Este,292,532900,9.0103723,-79.4647577
Bella Vita - San Francisco - Pre - Venta,56,135800,,
Se Vende Apartamento PH Sevilla Vista Al Mar,110,209500,9.012751,-79.47735399999999
Apartamento en Venta Albrook Pp19 - 12286,213,315000,8.980062,-79.551818
Apartamento en Parque Lefevre - en Construcción,50,119500,9.007312667558296,-79.50419095834955
Vendo Apartamento en PH Sunshine,60,115000,9.0057679,-79.5096878
Hacienda Golf Torre 1 Letra Quincenal Desde $488,,170000,9.0644903,-79.45351199999999
"Aptos con Precios de Interés Preferencial Desde $155,000 Galeria Towers",120,155000,9.0300385,-79.5176156
Apartamento en Venta 128.85 m&sup2;,128,272000,8.971412804172973,-79.53115772803346
"Proyecto Vista Verde - Entrega Inmediata - Desde Us$161,775",73,0,9.004101101050974,-79.50951396861723
Vita - Coco del Mar | Apartamentos Para Estrenar,164,426000,8.992419595561852,-79.49779128211878
Embassy Village,222,315000,8.9870013,-79.56175389999999
Embassy Club,340,630000,,
Hacienda Golf Torre 2 Interés Preferencial,55,,9.0690274,-79.45063300000004
Macedonia Towers / Transistmica,,182000,9.017343716186732,-79.51954762226603
